nb_cons,nb_prod,nb threads,Mesure i,time
10,9,4,5,0:00.18
10,10,4,1,0:00.19
10,10,4,2,0:00.20
10,10,4,3,0:00.20
10,10,4,4,0:00.19
10,10,4,5,0:00.20
11,10,4,1,0:00.21
11,10,4,2,0:00.21
11,10,4,3,0:00.21
11,10,4,4,0:00.21
11,10,4,5,0:00.19
11,11,4,1,0:00.21
11,11,4,2,0:00.19
11,11,4,3,0:00.21
11,11,4,4,0:00.33
11,11,4,5,0:00.32
12,11,4,1,0:00.19
12,11,4,2,0:00.19
12,11,4,3,0:00.19
12,11,4,4,0:00.19
12,11,4,5,0:00.20
12,12,4,1,0:00.20
12,12,4,2,0:00.19
12,12,4,3,0:00.20
12,12,4,4,0:00.19
12,12,4,5,0:00.19
13,12,4,1,0:00.19
13,12,4,2,0:00.19
13,12,4,3,0:00.18
13,12,4,4,0:00.18
13,12,4,5,0:00.21
13,13,4,1,0:00.21
13,13,4,2,0:00.20
13,13,4,3,0:00.20
13,13,4,4,0:00.21
13,13,4,5,0:00.21
14,13,4,1,0:00.19
14,13,4,2,0:00.20
14,13,4,3,0:00.19
14,13,4,4,0:00.19
14,13,4,5,0:00.19
14,14,4,1,0:00.18
14,14,4,2,0:00.19
14,14,4,3,0:00.21
14,14,4,4,0:00.20
14,14,4,5,0:00.20
15,14,4,1,0:00.21
15,14,4,2,0:00.19
15,14,4,3,0:00.21
15,14,4,4,0:00.20
15,14,4,5,0:00.21
15,15,4,1,0:00.20
15,15,4,2,0:00.19
15,15,4,3,0:00.19
15,15,4,4,0:00.19
15,15,4,5,0:00.19
16,15,4,1,0:00.18
16,15,4,2,0:00.19
16,15,4,3,0:00.20
16,15,4,4,0:00.19
16,15,4,5,0:00.20
16,16,4,1,0:00.19
16,16,4,2,0:00.20
16,16,4,3,0:00.20
16,16,4,4,0:00.20
16,16,4,5,0:00.20
17,16,4,1,0:00.20
17,16,4,2,0:00.19
17,16,4,3,0:00.19
17,16,4,4,0:00.19
17,16,4,5,0:00.19
17,17,4,1,0:00.21
17,17,4,2,0:00.19
17,17,4,3,0:00.19
17,17,4,4,0:00.20
17,17,4,5,0:00.19
18,17,4,1,0:00.19
18,17,4,2,0:00.19
18,17,4,3,0:00.19
18,17,4,4,0:00.19
18,17,4,5,0:00.19
18,18,4,1,0:00.21
18,18,4,2,0:00.20
18,18,4,3,0:00.21
